#	Table of MdC to Unicode equivalence
#	MdC here is really "JSesh" MdC.
#	In some cases, "non MdC" means that the sign has no
#	real MdC equivalent (for instance groups).
#	Comments :
#	L3 +s-L3-+l: the MdC orientation is wrong, correct should be +s-L3\R180-+l. We will however keep the wrong orientation,
#	for backward compatibility.
#	Structure : 
#	1st column+s-+l JSesh glyph code (using additional glyphs when necessary)
#	2nd column+s-+l Unicode equivalent
#	3rd column +s-+lUnicode position
#	4th column +s-+lPossible MdC equivalent when the sign is in fact a group.
O29	O029	0x1327B	
O29v	O029a	0x1327C	
O30	O030	0x1327D	
US1O30AEXTU	O030a	0x1327E	O30-O30-O30-O30	
O31	O031	0x1327F	
O32	O032	0x13280	
O33	O033	0x13281	
US1O33AEXTU	O033a	0x13282	O33\R270	
O34	O034	0x13283	
O35	O035	0x13284	
O36	O036	0x13285	
US1O36AEXTU	O036a	0x13286	
US1O36BEXTU	O036b	0x13287	
US1O36CEXTU	O036c	0x13288	
US1O36DEXTU	O036d	0x13289	
O37	O037	0x1328A	
O38	O038	0x1328B	
O39	O039	0x1328C	
O40	O040	0x1328D	
O41	O041	0x1328E	
O42	O042	0x1328F	
O43	O043	0x13290	
O44	O044	0x13291	
O45	O045	0x13292	
O46	O046	0x13293	
O47	O047	0x13294	
O48	O048	0x13295	
O49	O049	0x13296	
O50	O050	0x13297	
Ff8	O050a	0x13298	
Ff8A	O050b	0x13299	
O51	O051	0x1329A	
P1	P001	0x1329B	
P1A	P001a	0x1329C	
P2	P002	0x1329D	
P3	P003	0x1329E	
US1P3AEXTU	P003a	0x1329F	
P4	P004	0x132A0	
P5	P005	0x132A1	
P6	P006	0x132A2	
P7	P007	0x132A3	
P8	P008	0x132A4	
P9	P009	0x132A5	
P10	P010	0x132A6	
P11	P011	0x132A7	
Q1	Q001	0x132A8	
Q2	Q002	0x132A9	
Q3	Q003	0x132AA	
Q4	Q004	0x132AB	
Q5	Q005	0x132AC	
Q6	Q006	0x132AD	
Q7	Q007	0x132AE	
R1	R001	0x132AF	
R2	R002	0x132B0	
R1h	R002a	0x132B1	
R3	R003	0x132B2	
R3P	R003a	0x132B3	
R3PA	R003b	0x132B4	
R4	R004	0x132B5	
R5	R005	0x132B6	
R6	R006	0x132B7	
R7	R007	0x132B8	
R8	R008	0x132B9	
R9	R009	0x132BA	
R10	R010	0x132BB	
R50	R010a	0x132BC	
R11	R011	0x132BD	
R12	R012	0x132BE	
R13	R013	0x132BF	
R14	R014	0x132C0	
R15	R015	0x132C1	
R16	R016	0x132C2	
R16B	R016a	0x132C3	
R17	R017	0x132C4	
R18	R018	0x132C5	
R19	R019	0x132C6	
R20	R020	0x132C7	
R21	R021	0x132C8	
R22	R022	0x132C9	
R23	R023	0x132CA	
R24	R024	0x132CB	
R25	R025	0x132CC	
R26	R026	0x132CD	
T63B	R027	0x132CE	
R129	R028	0x132CF	
O196	R029	0x132D0	
S1	S001	0x132D1	
S2	S002	0x132D2	
S48	S002a	0x132D3	
S3	S003	0x132D4	
S4	S004	0x132D5	
S5	S005	0x132D6	
S6	S006	0x132D7	
S50	S006a	0x132D8	
S7	S007	0x132D9	
S8	S008	0x132DA	
S9	S009	0x132DB	
S10	S010	0x132DC	
S11	S011	0x132DD	
S12	S012	0x132DE	
S13	S013	0x132DF	
S14	S014	0x132E0	
S14A	S014a	0x132E1	
US1S14BEXTU	S014b	0x132E2	
S15	S015	0x132E3	
S16	S016	0x132E4	
S17	S017	0x132E5	
S197	S017a	0x132E6	
S18	S018	0x132E7	
S19	S019	0x132E8	
S20	S020	0x132E9	
S21	S021	0x132EA	
S22	S022	0x132EB	
S23	S023	0x132EC	
S24	S024	0x132ED	
S25	S025	0x132EE	
S26	S026	0x132EF	
iw	S026a	0x132F0	
US1S26BEXTU	S026b	0x132F1	
S27	S027	0x132F2	
S28	S028	0x132F3	
S29	S029	0x132F4	
S30	S030	0x132F5	
S31	S031	0x132F6	
S32	S032	0x132F7	
S33	S033	0x132F8	
S34	S034	0x132F9	
S35	S035	0x132FA	
US1S35ABEXTU	S035a	0x132FB	
S36	S036	0x132FC	
S37	S037	0x132FD	
S38	S038	0x132FE	
S39	S039	0x132FF	
S40	S040	0x13300	
S41	S041	0x13301	
S42	S042	0x13302	
S43	S043	0x13303	
S44	S044	0x13304	
S45	S045	0x13305	
S56	S046	0x13306	
T1	T001	0x13307	
T2	T002	0x13308	
T3	T003	0x13309	
T43	T003a	0x1330A	
T4	T004	0x1330B	
T5	T005	0x1330C	
T6	T006	0x1330D	
T7	T007	0x1330E	
T7A	T007a	0x1330F	
T8	T008	0x13310	
T8A	T008a	0x13311	
T9	T009	0x13312	
T9A	T009a	0x13313	
T10	T010	0x13314	
T11	T011	0x13315	
T60	T011a	0x13316	
T12	T012	0x13317	
T13	T013	0x13318	
T14	T014	0x13319	
T15	T015	0x1331A	
T16	T016	0x1331B	
T16A	T016a	0x1331C	
T17	T017	0x1331D	
T18	T018	0x1331E	
T19	T019	0x1331F	
T20	T020	0x13320	
T21	T021	0x13321	
T22	T022	0x13322	
T23	T023	0x13323	
T24	T024	0x13324	
T25	T025	0x13325	
T26	T026	0x13326	
T27	T027	0x13327	
T28	T028	0x13328	
T29	T029	0x13329	
T30	T030	0x1332A	
T31	T031	0x1332B	
T32	T032	0x1332C	
S123	T032a	0x1332D	
T33	T033	0x1332E	
US1T33AEXTU	T033a	0x1332F	
T34	T034	0x13330	
T35	T035	0x13331	
T36	T036	0x13332	
U1	U001	0x13333	
U2	U002	0x13334	
U3	U003	0x13335	
U4	U004	0x13336	
U5	U005	0x13337	
U6	U006	0x13338	
US1U6AEXTU	U006a	0x13339	U6\R25	
US1U6BEXTU	U006b	0x1333A	U6\\R25	
U7	U007	0x1333B	
U8	U008	0x1333C	
U9	U009	0x1333D	
U10	U010	0x1333E	
U11	U011	0x1333F	
U12	U012	0x13340	
U13	U013	0x13341	
U14	U014	0x13342	
U15	U015	0x13343	
U16	U016	0x13344	
U17	U017	0x13345	
U18	U018	0x13346	
U19	U019	0x13347	
U20	U020	0x13348	
U21	U021	0x13349	
U22	U022	0x1334A	
U23	U023	0x1334B	
U23A	U023a	0x1334C	
U24	U024	0x1334D	
U25	U025	0x1334E	
U26	U026	0x1334F	
U27	U027	0x13350	
U28	U028	0x13351	
U29	U029	0x13352	
U29A	U029a	0x13353	
U30	U030	0x13354	
U31	U031	0x13355	
U32	U032	0x13356	
Ff7	U032a	0x13357	
U33	U033	0x13358	
U34	U034	0x13359	
U35	U035	0x1335A	
U36	U036	0x1335B	
U37	U037	0x1335C	
U38	U038	0x1335D	
U39	U039	0x1335E	
U40	U040	0x1335F	
U41	U041	0x13360	
O30U	U042	0x13361	
V1	V001	0x13362	
200	V001a	0x13363	V1-V1	
300	V001b	0x13364	V1-V1-V1	
400	V001c	0x13365	V1-V1-V1-V1	
US1V1DEXTU	V001d	0x13366	100*100*100:.\1*100*100*.\1	
US1V1EEXTU	V001e	0x13367	100*100*100:100*100*100	
US1V1FEXTU	V001f	0x13368	100*100*100*100:.\1*100*100*100*.\1	
US1V1GEXTU	V001g	0x13369	100*100*100*100:100*100*100*100	
US1V1HEXTU	V001h	0x1336A	100*100*100:100*100*100:100*100*100	
500	V001i	0x1336B	
V2	V002	0x1336C	
Ff6	V002a	0x1336D	
V3	V003	0x1336E	
V4	V004	0x1336F	
V5	V005	0x13370	
V6	V006	0x13371	
V7	V007	0x13372	
V60	V007a	0x13373	
V49A	V007b	0x13374	
V8	V008	0x13375	
V9	V009	0x13376	
V10	V010	0x13377	
V11	V011	0x13378	
US1V11AEXTU	V011a	0x13379	<1--	0>
US1V11BEXTU	V011b	0x1337A	<0--	2>
US1V11CEXTU	V011c	0x1337B	<0--	1>
V12	V012	0x1337C	
H27	V012a	0x1337D	
US1V12BEXTU	V012b	0x1337E	
V13	V013	0x1337F	
V14	V014	0x13380	
V15	V015	0x13381	
V16	V016	0x13382	
V17	V017	0x13383	
V18	V018	0x13384	
V19	V019	0x13385	
V20	V020	0x13386	
US1V20AEXTU	V020a	0x13387	10:10	
US1V20BEXTU	V020b	0x13388	10\80*10\80:10\80	
US1V20CEXTU	V020c	0x13389	10*10:10*	10
US1V20DEXTU	V020d	0x1338A	10\60*10\60*10\60:.\1*10\60*10\60*.\1	
US1V20EEXTU	V020e	0x1338B	10*10*10:10*10*10	
